time,cmd_linear,cmd_angular,VelocityEncR,VelocityEncL
2.2233,0.0000,0.0000,0.0000,0.0000
2.2435,0.0000,0.0000,0.0000,0.0000
2.2639,0.0000,0.0000,0.0000,0.0000
2.2841,0.0000,0.0000,0.0000,0.0000
2.3034,0.0000,0.0000,0.0000,0.0000
2.3236,0.0000,0.0000,0.0000,0.0000
2.3434,0.0000,0.0000,0.0000,0.0000
2.3634,0.0000,0.0000,0.0000,0.0000
2.3833,0.0000,0.0000,0.0000,0.0000
2.4032,0.0000,0.0000,0.0000,0.0000
2.4234,0.0000,0.0000,0.0000,0.0000
2.4434,0.0000,0.0000,0.0000,0.0000
2.4634,0.0000,0.0000,0.0000,0.0000
2.4833,0.0000,0.0000,0.0000,0.0000
2.5033,0.0000,0.0000,0.0000,0.0000
2.5234,0.0000,0.0000,0.0000,0.0000
2.5434,0.0000,0.0000,0.0000,0.0000
2.5634,0.0000,0.0000,0.0000,0.0000
2.5834,0.0000,0.0000,0.0000,0.0000
2.6034,0.0000,0.0000,0.0000,0.0000
2.6233,0.0000,0.0000,0.0000,0.0000
2.6433,0.0000,0.0000,0.0000,0.0000
2.6634,0.0000,0.0000,0.0000,0.0000
2.6834,0.0000,0.0000,0.0000,0.0000
2.7033,0.0000,0.0000,0.0000,0.0000
2.7233,0.0000,0.0000,0.0000,0.0000
2.7433,0.0000,0.0000,0.0000,0.0000
2.7634,0.0000,0.0000,0.0000,0.0000
2.7834,0.0000,0.0000,0.0000,0.0000
2.8034,0.0000,0.0000,0.0000,0.0000
2.8234,0.0000,0.0000,0.0000,0.0000
2.8433,0.0000,0.0000,0.0000,0.0000
2.8639,0.0000,0.0000,0.0000,0.0000
2.8834,0.0000,0.0000,0.0000,0.0000
2.9035,0.0000,0.0000,0.0000,0.0000
2.9235,0.0000,0.0000,0.0000,0.0000
2.9435,0.0000,0.0000,0.0000,0.0000
2.9635,0.0000,0.0000,0.0000,0.0000
2.9832,0.0000,0.0000,0.0000,0.0000
3.0034,0.0000,0.0000,0.0000,0.0000
3.0232,0.0000,0.0000,0.0000,0.0000
3.0433,0.0000,0.0000,0.0000,0.0000
3.0634,0.0000,0.0000,0.0000,0.0000
3.0834,0.0000,0.0000,0.0000,0.0000
3.1034,0.0000,0.0000,0.0000,0.0000
3.1233,0.0000,0.0000,0.0000,0.0000
3.1434,0.0000,0.0000,0.0000,0.0000
3.1633,0.0000,0.0000,0.0000,0.0000
3.1836,0.0000,0.0000,0.0000,0.0000
3.2034,0.0000,0.0000,0.0000,0.0000
3.2233,0.0000,0.0000,0.0000,0.0000
3.2434,0.0000,0.0000,0.0000,0.0000
3.2633,0.0000,0.0000,0.0000,0.0000
3.2834,0.0000,0.0000,0.0000,0.0000
3.3033,0.0000,0.0000,0.0000,0.0000
3.3235,0.0000,0.0000,0.0000,0.0000
3.3436,0.0000,0.0000,0.0000,0.0000
3.3640,0.0000,0.0000,0.0000,0.0000
3.3834,0.0000,0.0000,0.0000,0.0000
3.4037,0.0000,0.0000,0.0000,0.0000
3.4233,0.0000,0.0000,0.0000,0.0000
3.4437,0.0000,0.0000,0.0000,0.0000
3.4640,0.0000,0.0000,0.0000,0.0000
3.4835,0.0000,0.0000,0.0000,0.0000
3.5035,0.0000,0.0000,0.0000,0.0000
3.5234,0.0000,0.0000,0.0000,0.0000
3.5434,0.0000,0.0000,0.0000,0.0000
3.5634,0.0000,0.0000,0.0000,0.0000
3.5834,0.0000,0.0000,0.0000,0.0000
3.6032,0.0000,0.0000,0.0000,0.0000
3.6232,0.0000,0.0000,0.0000,0.0000
3.6434,0.0000,0.0000,0.0000,0.0000
3.6634,0.0000,0.0000,0.0000,0.0000
3.6834,0.0000,0.0000,0.0000,0.0000
3.7033,0.0000,0.0000,0.0000,0.0000
3.7234,0.0000,0.0000,0.0000,0.0000
3.7434,0.0000,0.0000,0.0000,0.0000
3.7632,0.0000,0.0000,0.0000,0.0000
3.7832,0.0000,0.0000,0.0000,0.0000
3.8033,0.0000,0.0000,0.0000,0.0000
3.8235,0.0000,0.0000,0.0000,0.0000
3.8434,0.0000,0.0000,0.0000,0.0000
3.8633,0.0000,0.0000,0.0000,0.0000
3.8834,0.0000,0.0000,0.0000,0.0000
3.9034,0.0000,0.0000,0.0000,0.0000
3.9234,0.0000,0.0000,0.0000,0.0000
3.9434,0.0000,0.0000,0.0000,0.0000
3.9634,0.0000,0.0000,0.0000,0.0000
3.9834,0.0000,0.0000,0.0000,0.0000
4.0034,0.0000,0.0000,0.0000,0.0000
4.0234,0.0000,0.0000,0.0000,0.0000
4.0434,0.0000,0.0000,0.0000,0.0000
4.0634,0.0000,0.0000,0.0000,0.0000
4.0834,0.0000,0.0000,0.0000,0.0000
4.1034,0.0000,0.0000,0.0000,0.0000
4.1234,0.0000,0.0000,0.0000,0.0000
4.1434,0.0000,0.0000,0.0000,0.0000
4.1634,0.0000,0.0000,0.0000,0.0000
4.1834,0.0000,0.0000,0.0000,0.0000
4.2032,0.0000,0.0000,0.0000,0.0000
4.2233,0.0000,0.0000,0.0000,0.0000
4.2434,0.0000,0.0000,0.0000,0.0000
4.2634,0.0000,0.0000,0.0000,0.0000
4.2834,0.0000,0.0000,0.0000,0.0000
4.3034,0.0000,0.0000,0.0000,0.0000
4.3234,0.0000,0.0000,0.0000,0.0000
4.3433,0.0000,0.0000,0.0000,0.0000
4.3637,0.0000,0.0000,0.0000,0.0000
4.3832,0.0000,0.0000,0.0000,0.0000
4.4037,0.0000,0.0000,0.0000,0.0000
4.4239,0.0000,0.0000,0.0000,0.0000
4.4437,0.0000,0.0000,0.0000,0.0000
4.4636,0.0000,0.0000,0.0000,0.0000
4.4839,0.0000,0.0000,0.0000,0.0000
4.5038,0.0000,0.0000,0.0000,0.0000
4.5237,0.0000,0.0000,0.0000,0.0000
4.5436,0.0000,0.0000,0.0000,0.0000
4.5632,0.0000,0.0000,0.0000,0.0000
4.5839,0.0000,0.0000,0.0000,0.0000
4.6034,0.0000,0.0000,0.0000,0.0000
4.6238,0.0000,0.0000,0.0000,0.0000
4.6437,0.0000,0.0000,0.0000,0.0000
4.6639,0.0000,0.0000,0.0000,0.0000
4.6838,0.0000,0.0000,0.0000,0.0000
4.7034,0.0000,0.0000,0.0000,0.0000
4.7237,0.0000,0.0000,0.0000,0.0000
4.7435,0.0000,0.0000,0.0000,0.0000
4.7639,0.0000,0.0000,0.0000,0.0000
4.7834,0.0000,0.0000,0.0000,0.0000
4.8038,0.0000,0.0000,0.0000,0.0000
4.8238,0.0000,0.0000,0.0000,0.0000
4.8440,0.0000,0.0000,0.0000,0.0000
4.8636,0.0000,0.0000,0.0000,0.0000
4.8836,0.0000,0.0000,0.0000,0.0000
4.9037,0.0000,0.0000,0.0000,0.0000
4.9239,0.0000,0.0000,0.0000,0.0000
4.9440,0.0000,0.0000,0.0000,0.0000
4.9638,0.0000,0.0000,0.0000,0.0000
4.9839,0.0000,0.0000,0.0000,0.0000
5.0038,0.0000,0.0000,0.0000,0.0000
5.0239,0.0000,0.0000,0.0000,0.0000
5.0437,0.0000,0.0000,0.0000,0.0000
5.0632,0.0000,0.0000,0.0000,0.0000
5.0832,0.0000,0.0000,0.0000,0.0000
5.1033,0.0000,0.0000,0.0000,0.0000
5.1232,0.0000,0.0000,0.0000,0.0000
5.1438,0.0000,0.0000,0.0000,0.0000
5.1633,0.0000,0.0000,0.0000,0.0000
5.1832,0.0000,0.0000,0.0000,0.0000
5.2041,0.0000,0.0000,0.0000,0.0000
5.2234,0.0000,0.0000,0.0000,0.0000
5.2437,0.0000,0.0000,0.0000,0.0000
5.2634,0.0000,0.0000,0.0000,0.0000
5.2832,0.0000,0.0000,0.0000,0.0000
5.3035,0.0000,0.0000,0.0000,0.0000
5.3234,0.0000,0.0000,0.0000,0.0000
5.3436,0.0000,0.0000,0.0000,0.0000
5.3634,0.0000,0.0000,0.0000,0.0000
5.3834,0.0000,0.0000,0.0000,0.0000
5.4034,0.0000,0.0000,0.0000,0.0000
5.4234,0.0000,0.0000,0.0000,0.0000
5.4434,0.0000,0.0000,0.0000,0.0000
5.4634,0.0000,0.0000,0.0000,0.0000
5.4832,0.0000,0.0000,0.0000,0.0000
5.5037,0.0000,0.0000,0.0000,0.0000
5.5238,0.0000,0.0000,0.0000,0.0000
5.5439,0.0000,0.0000,0.0000,0.0000
5.5638,0.0000,0.0000,0.0000,0.0000
5.5832,0.0000,0.0000,0.0000,0.0000
5.6037,0.0000,0.0000,0.0000,0.0000
5.6238,0.0000,0.0000,0.0000,0.0000
5.6440,0.0000,0.0000,0.0000,0.0000
5.6639,0.0000,0.0000,0.0000,0.0000
5.6837,0.0000,0.0000,0.0000,0.0000
5.7039,0.0000,0.0000,0.0000,0.0000
5.7239,0.0000,0.0000,0.0000,0.0000
5.7439,0.0000,0.0000,0.0000,0.0000
5.7639,0.0000,0.0000,0.0000,0.0000
5.7839,0.0000,0.0000,0.0000,0.0000
